model_id,case_id,run_id,variant,task,execution_role,backend,setup_id,producer_identity_sha256,producer_binding_eligible,technical_status,scientific_status,decision,delta,ci_low,margin,bootstrap_repetitions,cache_hit,error
yolo11l,full,deepx_m1_full,full,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,QualityArtifactIntegrityError: request detection runtime endpoint stage is invalid
yolo11l,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,de1265627de588db47a45cf0161738d3605fe0750b11bca8749a98f3f72158a1,True,completed,pass,pass,0.00045308184468806356,-0.0004229061051991332,0.01,500,False,
yolo11l,b062,hailo10,full,detection,,,orin_nx_hailo10_01,,False,completed,fail,fail,-0.013337144920196609,-0.013337144920196609,0.01,0,False,
yolo11l,b062,hailo10h_to_trt,composed,detection,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.011485655532301409,-0.011485655532301409,0.01,0,False,
yolo11l,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,7c988c76c4daea73050652a692596f9cba2e0a412927a9e4a7b25b98edc9c443,True,completed,pass,pass,-0.00020532779358684028,-0.0008899389978356875,0.01,500,False,
yolo11l,b062,hailo8,full,detection,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.025940922605574568,-0.025940922605574568,0.01,0,False,
yolo11l,b062,hailo8_to_trt,composed,detection,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,inconclusive,inconclusive,-0.008668451681087541,-0.014388826475846961,0.01,500,False,
yolo11l,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,873532a48b9766efa384eb0094cd0b96a35626c49faa7c19393f89324b10e995,True,completed,pass,pass,-0.00020532779358684028,-0.0008899389978356875,0.01,500,False,
yolo26m,b398,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,7f1b52e092980f61ffe57a28a208e2842a0a63f5ce3a3b72531a7caf64c215ed,True,completed,pass,pass,-0.0005296007159286131,-0.002223021311684145,0.01,500,False,
yolo26m,b398,ort_tensorrt,full,detection,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,-0.0004102942199067372,-0.001954393066880802,0.01,500,False,
yolo26m,full,deepx_m1_full,full,detection,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,inconclusive,inconclusive,-0.005415234369419486,-0.011817577399304257,0.01,500,False,
yolo26m,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,253342d0de57a0d0018b901bf6497de903d0752738446964d5df9b4c5cf217e8,True,completed,pass,pass,-0.0004102942199067372,-0.001954393066880802,0.01,500,False,
yolo26m,b398,hailo10,full,detection,,,orin_nx_hailo10_01,,False,completed,fail,fail,-0.03793408117095698,-0.03793408117095698,0.01,0,False,
yolo26m,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,300077f7506fdf1a698c90fe60b072c9e3624aafada183507df71be5d2c9ee36,True,completed,pass,pass,-0.0005021365167628411,-0.002035386654143933,0.01,500,False,
yolo26m,b398,hailo8,full,detection,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.03928168077611982,-0.03928168077611982,0.01,0,False,
yolo26m,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,69a787471993da7c11ab5ca051605e4717b7bf25de0f21afafa11a55c000c204,True,completed,pass,pass,-0.0005590036553838051,-0.00216311406472226,0.01,500,False,
yolo26s,b364,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,fd977de25b27ec1357b6d3ff960d26d3100046186bc02ae683ffc8a7660e1857,True,completed,pass,pass,0.0008839284243190582,-0.00012151192027041174,0.01,500,False,
yolo26s,b364,ort_tensorrt,full,detection,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.0009415704386290247,0.000109058195141773,0.01,500,False,
yolo26s,full,deepx_m1_full,full,detection,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,fail,fail,-0.006142091075082956,-0.006142091075082956,0.01,0,False,
yolo26s,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,a397b3dd5a998c5226fe4aa663cf1fd399ceb640715a14b0cf86f76072fb2311,True,completed,pass,pass,0.0009415704386290247,0.000109058195141773,0.01,500,False,
yolo26s,b364,hailo10,full,detection,,,orin_nx_hailo10_01,,False,completed,fail,fail,-0.05678649638168576,-0.05678649638168576,0.01,0,False,
yolo26s,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,2376d072d65eea00910a3aaf8dcf623734a06050be10abeda99745c3eb0e2eee,True,completed,pass,pass,0.000660679672388198,-5.545747992671266e-05,0.01,500,False,
yolo26s,b364,hailo8,full,detection,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.07796551293294679,-0.07796551293294679,0.01,0,False,
yolo26s,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,49b2e5d44cfe5aaf6ed05e542114ceff3d657de533e17fd25a5fe569a03bbe70,True,completed,pass,pass,0.0006773714721894919,1.7628135127681517e-05,0.01,500,False,
yolov7_paper,b044,deepx_to_trt,composed,detection,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,0.008576302831476035,0.005245871343706238,0.01,500,False,
yolov7_paper,b044,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,80e87ddea88394c056641bff8a7a832055096ba0a772dc6a9c47b5acb276e6bb,True,completed,pass,pass,0.009095604328051399,0.006392223433503716,0.01,500,False,
yolov7_paper,b044,ort_tensorrt,full,detection,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.009029832812634753,0.006469138048556905,0.01,500,False,
yolov7_paper,full,deepx_m1_full,full,detection,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.004274475012795154,0.00030419767863843486,0.01,500,False,
yolov7_paper,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,833228a9743fdf65a0c0d1de3694a94266c8ba924cc5e46e520515085dce9e38,True,completed,pass,pass,0.009029832812634753,0.006469138048556905,0.01,500,False,
yolov7_paper,b044,hailo10,full,detection,,,orin_nx_hailo10_01,,False,completed,fail,fail,-0.031878303041460276,-0.031878303041460276,0.01,0,False,
yolov7_paper,b044,hailo10h_to_trt,composed,detection,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,pass,pass,0.0056075696704337985,0.0009136986646437944,0.01,500,False,
yolov7_paper,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,1b083875c9482b594d68eeba7cbf255d28df3f29c441ab84bb6fd06d1ab40127,True,completed,pass,pass,0.009112014674885871,0.006601054861565779,0.01,500,False,
yolov7_paper,b044,hailo8,full,detection,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.03723541125000479,-0.03723541125000479,0.01,0,False,
yolov7_paper,b044,hailo8_to_trt,composed,detection,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,pass,pass,0.007555180040031417,0.0034558912829627587,0.01,500,False,
yolov7_paper,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,2c734a72f5c226218aa69e1a0f39ddeb81b2ee68516776442cb812ce7341203c,True,completed,pass,pass,0.009114357234430603,0.006551944236381803,0.01,500,False,
